Gene,logFC,p
Rap1gap2,-1.502712977,7.66E-08
Taldo1,3.242020077,1.33E-06
Fth1,2.346541507,2.78E-06
Polr3h,3.33265577,6.39E-06
Kdm6b,-2.376700743,1.11E-05
Fdps,-3.095074189,3.42E-05
Caprin1,-2.789016349,5.99E-05
Mlec,-2.541854974,7.69E-05
Actr3,1.91279722,8.15E-05
Itfg1,1.715504958,0.000156276
Wiz,0.955417373,0.000218531
Dhrs7,1.826261914,0.000254008
Anks6,-2.600541249,0.000261676
Cacna1a,-2.044019732,0.000271258
Lmf1,1.813580307,0.000271464
Pogz,-1.338801913,0.000282708
Ptp4a2,1.75505282,0.000294897
Gm5763,1.436099115,0.000334069
Smg6,2.327021695,0.000361126
Xkrx,1.712847557,0.000385972
40422,0.847996907,0.000389173
Snrnp70,2.591024555,0.000391028
1810058I24Rik,1.793753297,0.000430203
Puf60,-2.150347365,0.000439652
Ssbp2,2.48868164,0.000457647
Mfap4,2.083522487,0.000492522
Gm10602,-2.166505134,0.00052729
Smarcd2,1.383125052,0.000532089
Alpk2,1.027110284,0.000538434
Zfp827,3.84585431,0.000575548
Zbtb21,2.007219762,0.000593447
Klc4,-1.542103163,0.000595711
Ube2q1,1.610856252,0.00059753
Gpr182,1.50602777,0.000617216
Puf60,1.23991252,0.000618483
Rasgrp2,-1.411767118,0.000636801
Fbln5,0.685479487,0.000683229
Snx14,-0.852483508,0.000717673
Myadm,1.853562715,0.000731456
Wdr1,2.28778398,0.000751282
Mlxipl,-0.390560913,0.000787027
Tnk2,1.725223007,0.000811124
Adgrl1,1.726073664,0.000820614
P2ry2,-2.393192216,0.000828777
Ccng1,2.40741333,0.000828812
D5Ertd579e,3.20671686,0.000873453
Gm50254,-0.49683159,0.000889653
Polr2d,-2.093282225,0.0009616
Zc2hc1c,-1.079204066,0.000966871
Tmem41b,1.047477863,0.000968464
0610030E20Rik,3.544194743,0.000980263
Rps12,-2.838377481,0.001021047
Smurf1,-2.426907352,0.001152153
Arhgef7,-2.459732453,0.001168878
Gabpb2,-1.763257016,0.001175984
Rchy1,2.311214107,0.001193144
Amot,-0.661489021,0.001210439
Ankrd1,-1.717529019,0.001211998
Cacna1h,-1.785067196,0.001244458
Pycard,-1.600118669,0.001251865
Srsf9,-1.145320495,0.00127578
Usp10,-0.421919812,0.001307078
Snx18,2.912190987,0.001312266
Rps20,-3.014868803,0.001312509
Zfp207,-2.197503328,0.001313688
Ccdc174,1.250715223,0.001342846
Cep135,-0.678606666,0.001386876
Galm,-3.213531749,0.001387762
Mynn,0.804943164,0.001472258
Hip1,1.460717404,0.00147457
Rangap1,-1.197113419,0.001525946
Dnm3,-2.113774427,0.001579673
Fech,1.294142047,0.001589585
Gm9888,2.407129028,0.001604852
Mknk2,1.993520448,0.001613074
Nob1,-2.782274348,0.00162163
Zcwpw1,-0.221454449,0.001625168
Rpl9,2.039320241,0.001804692
Kif18b,0.981130476,0.001869378
Gucd1,-0.847996907,0.001877927
Khnyn,-1.106422059,0.001910738
Lmo7,0.790375578,0.001940748
Rps28,0.914625002,0.001978984
Cox17,-1.968220679,0.001979539
Tlcd2,-0.510215049,0.00198318
Lrig1,-0.80938698,0.001984327
Dennd4a,-2.077441385,0.002011103
1500026H17Rik,-0.934233554,0.002038387
Pias4,-0.781359714,0.002060154
Phyhipl,1.364727892,0.002075338
Nat9,0.728644015,0.002075402
Gm2981,-2.239940161,0.002117081
Meis2,-2.300461422,0.00216521
Fech,2.559468601,0.002180355
Pex2,0.658639739,0.002209915
Igfbp3,1.375391079,0.002218132
Gm15501,1.90020179,0.002218961
Lrrc3b,-1.048869313,0.002219288
Thbs2,-1.047177634,0.00224042
Gm26850,1.656019593,0.002265112
Rbm8a,1.359486428,0.002269586
H3f3aos,1.532923375,0.002286247
Trmt2a,0.64385619,0.00228635
Mios,1.280705432,0.002372334
Mycbp,1.136754559,0.002391441
Mphosph9,-0.289506617,0.002419201
Eif4a2,-1.392329724,0.002427037
Brms1l,-1.893491537,0.002471339
Gm45632,-1.648225447,0.002542887
Cpt1b,-0.929610672,0.002558806
Tmem147os,0.997797197,0.002570965
Brcc3,0.727566896,0.002572459
Eif3i,0.752905248,0.002584961
Atp5mpl,-1.467204922,0.002599543
Gm43435,-1.720726016,0.002654159
Ktn1,-0.684330092,0.002690883
Plac9a,1.565300735,0.002712498
Ehmt1,0.97566222,0.002761075
Pabpn1,1.576857789,0.002784087
Fmnl2,0.939335902,0.002785341
Ddx47,-1.237529491,0.002847539
Whrn,-1.260776172,0.002884614
Lsp1,1.448823809,0.002902249
Nr0b2,3.556930752,0.002918898
Mta2,-1.052911531,0.002948845
Syce2,-2.689153065,0.002952882
Axl,-0.488015731,0.00295585
Arhgef15,2.149020112,0.002986975
Hibadh,0.850259082,0.00300578
Klf9,-0.766615218,0.003031768
Cd63,1.275013169,0.003071226
Nebl,-2.269441,0.003079251
Scaf1,-1.92960526,0.003091255
Cct3,-0.775149123,0.003113478
Rab34,1.831571359,0.003143828
Fam160b2,0.701172928,0.003173057
Spopl,1.020627961,0.003229017
Cysltr1,0.550861657,0.0032298
Gucy1a2,1.175331727,0.003358833
Gm8189,0.623242381,0.003416412
Ccnl1,-0.485426827,0.003423449
Pde4c,-2.676561642,0.00347728
Dmap1,-1.332756351,0.00348508
Slc17a7,-1.228953536,0.00349254
Ak6,1.792099801,0.003503597
Cdh13,-1.707610387,0.003507568
Gmeb1,-0.495207848,0.003514854
Rpl27a,1.528602893,0.003534529
Cdk8,-1.972389953,0.003600539
Mfge8,-1.980474896,0.003609297
Zbtb40,-0.994973477,0.003641861
Mmp23,-0.311201688,0.003643685
Zcchc2,-1.495492026,0.003704125
Timm9,1.917138464,0.00370945
Rabgap1,0.635616444,0.003736146
Sptb,-1.39510957,0.003820027
Gm7846,1.413840668,0.003872165
Slc50a1,-0.807354922,0.003882537
Ilkap,1.181417013,0.003885811
Srgap2,3.541259023,0.00399862
Frmd4b,-1.73174721,0.00400635
Ganab,1.369572686,0.004037527
Prdx2,0.801368824,0.00404637
A4galt,-0.287919489,0.004065121
Cndp2,-1.903423693,0.004098863
Mrpl55,1.093625775,0.004132789
Ccl2,-1.229026588,0.004191134
Xpr1,2.219471328,0.004223294
Accs,1.801994009,0.004242226
Ccm2,0.892105326,0.004274822
Rbm48,0.866998278,0.004340208
Fbxw4,-1.147102164,0.004382185
Spata2,0.72377889,0.004409801
Mtch2,0.660371962,0.004520977
Ncoa1,2.224285547,0.004598549
Gpr108,-0.731234697,0.004611434
Trio,1.067684154,0.004619759
Pgam1-ps2,-2.49427335,0.004674194
Ntrk2,-0.384487572,0.004684939
Nat9,0.598245999,0.004694041
Gm4739,1.036338895,0.004719121
Olfm1,-1.054868251,0.004735948
Tbc1d15,0.821346468,0.004783499
Park7,1.120852227,0.004819283
Ogfod1,-1.197261706,0.004839648
Nudt13,2.063592769,0.004875877
Tmem38b,0.688284942,0.004885468
Sirpa,1.055943323,0.004988614
Hddc3,2.019780807,0.005007998
Zfp408,0.530514717,0.005119004
Fxr1,1.756305904,0.005217366
Rsrc1,1.262726941,0.005232055
Pet100,1.159762672,0.005317468
Rtl8b,-0.472074832,0.005324171
Hnrnph1,-1.059282322,0.00534518
Mus81,-2.120079097,0.005351934
Rchy1,-1.580377911,0.005355195
Anapc2,1.542849334,0.005426981
Pcyt2,-0.727606528,0.005430252
Tnnt2,1.5341585,0.005483927
Stox1,1.588931403,0.00549591
Spg7,-0.736965594,0.005506915
Rcor2,1.337835844,0.005517159
Lrrc59,1.703618518,0.005524058
Arpc3,1.175873201,0.005534037
Ube2e3,0.629292382,0.005563248
Cd74,1.714998231,0.005582397
Sppl2b,2.291849851,0.005590064
Kdm2a,-0.664303481,0.005592686
Zfp658,-1.591531851,0.005630164
Man2c1os,0.751465164,0.005643385
1810026B05Rik,0.708951218,0.005687263
Mad2l1,1.260722061,0.005709405
Rbm27,-0.523134483,0.005715459
Tmcc3,2.049759566,0.005757136
Cbx8,-0.956745559,0.005760198
Pacsin3,1.27216493,0.005762894
Scx,1.92999995,0.005773336
Alox5,0.761083699,0.005782029
Zfp931,1.054112476,0.005791274
Des,0.753476996,0.005862094
Usp19,0.512828895,0.005865157
Dennd1b,1.684961204,0.005880116
Gcc2,-2.11660209,0.005914871
Ahcyl1,0.714647785,0.005939839
St3gal3,1.751899596,0.005947665
Capn2,-1.426976829,0.005957095
Mcoln1,0.628913275,0.006076447
Uap1,-4.156417132,0.006089873
Tulp4,1.697935065,0.006100722
Crtc1,-0.826018447,0.006108823
Dpysl3,-2.081421822,0.006109738
Prdx6,-1.329780354,0.006123036
Ogfod2,-2.812253721,0.006128102
Dusp16,-1.661479558,0.006142711
Pprc1,-1.13978259,0.006222195
Wee1,-1.246193981,0.006268627
Gm10222,0.933475381,0.006305753
Tnrc6c,-1.71239857,0.006314027
Fance,2.3004285,0.006328328
Eif2ak4,-0.94510372,0.006359442
Siah1a,-1.553678264,0.006371011
Yars2,-1.048267646,0.00637369
Irf3,-2.668669991,0.00643492
Ncor2,-1.732651129,0.006550858
Asb13,-0.526933997,0.006593544
1190007I07Rik,0.655899473,0.006597799
Smox,1.22184713,0.006610771
Zcchc2,-1.140206197,0.006617718
Rpl39,1.74945571,0.006635346
Ube2f,1.165037343,0.006663886
H2ac10,1.681144887,0.006717241
Atf7ip,0.871969681,0.006765392
3110040N11Rik,0.985777831,0.006897776
Hmbox1,-0.708536199,0.006957253
Ube3c,2.325499521,0.006996379
Fopnl,-0.751186989,0.007038881
Prokr1,0.584962501,0.007077598
Senp3,0.415037499,0.007077598
Rps12,-1.015048108,0.007080706
Tmem108,-2.836710845,0.007087439
Tnfaip8,-0.906477724,0.007167031
Rtel1,0.344036619,0.00718968
Nkiras2,2.952281473,0.007189952
Hcfc1r1,0.677999197,0.007216693
Taok3,2.13740833,0.007239315
Cep112,-1.351451407,0.007242322
Bcl6,0.992242993,0.007249726
Il17ra,0.872223022,0.00725961
C1qtnf9,-0.860790526,0.007339689
Ech1,-1.502733466,0.007351735
Nudt19,2.165272731,0.007370254
Psen2,-0.957998434,0.007418871
Thop1,-1.925515262,0.007450437
Msh3,-0.615550821,0.007480377
Ctbs,-1.349923379,0.007513927
Ndufs3,1.475157186,0.00753951
Rbm33,-0.782166257,0.007588551
Prkab1,1.370921458,0.007635113
Gtf2i,-1.703335221,0.007636051
Cltb,-0.862829762,0.007706492
