,logFC,logCPM,PValue,FDR
ENSMUSG00000056423,-6.305929794,0.414823641,6.22E-08,0.000844091
ENSMUSG00000026360,-0.781780617,6.021635682,8.74E-07,0.005926089
ENSMUSG00000076609,-3.054250353,1.680005994,1.65E-06,0.007437299
ENSMUSG00000037362,-3.460643145,4.693677732,8.43E-06,0.028585892
ENSMUSG00000040998,-3.819268762,3.580740036,2.25E-05,0.061075875
ENSMUSG00000037016,1.29620905,3.399830313,3.57E-05,0.067564721
ENSMUSG00000056708,0.646908905,5.424448507,3.97E-05,0.067564721
ENSMUSG00000041782,-1.564332317,3.27586626,3.99E-05,0.067564721
ENSMUSG00000001494,-4.201375972,2.712253528,5.10E-05,0.073301823
ENSMUSG00000043004,-2.06399553,4.527762588,5.41E-05,0.073301823
ENSMUSG00000050211,-0.542478869,3.632918461,6.68E-05,0.082326694
ENSMUSG00000042895,0.57680162,6.279054611,9.17E-05,0.103675687
ENSMUSG00000022479,-2.601815916,1.825707219,0.000102182,0.106591115
ENSMUSG00000050335,-2.201653305,3.575959933,0.000122997,0.116300703
ENSMUSG00000030046,-6.191579858,6.436885825,0.000129091,0.116300703
ENSMUSG00000037263,-3.32541164,0.824130601,0.000137218,0.116300703
ENSMUSG00000032083,4.617859263,0.48490459,0.000153675,0.122587395
ENSMUSG00000055980,0.627726447,4.018161615,0.000174762,0.131663408
ENSMUSG00000026768,-2.64274672,4.521536045,0.000192692,0.136491759
ENSMUSG00000086806,-3.472041341,0.961160393,0.0002013,0.136491759
ENSMUSG00000024806,-4.398911726,2.08565961,0.000211959,0.136875262
ENSMUSG00000026098,-0.78707847,1.9541647,0.000246243,0.151786652
ENSMUSG00000057123,-1.683087169,3.930604601,0.000298493,0.169480037
ENSMUSG00000049001,-1.8180855,2.974615954,0.00031021,0.169480037
ENSMUSG00000024871,-0.523262075,6.293000497,0.00031244,0.169480037
ENSMUSG00000044405,-1.918393434,1.458642842,0.000352175,0.183686519
ENSMUSG00000052684,0.427785506,5.753023516,0.000389275,0.189038561
ENSMUSG00000028464,-1.54330468,6.127964125,0.000390316,0.189038561
ENSMUSG00000022206,-1.299225466,5.735175063,0.000422405,0.197525459
ENSMUSG00000031665,-1.823581557,1.379172507,0.000467985,0.211544974
ENSMUSG00000008348,0.451520248,6.397351908,0.000542333,0.230908363
ENSMUSG00000002997,-2.330757753,3.070829772,0.000544876,0.230908363
ENSMUSG00000001739,-0.81306721,3.674852821,0.000568043,0.232976032
ENSMUSG00000034936,-0.456831714,4.707504042,0.000602412,0.232976032
ENSMUSG00000029174,-1.819265681,5.654898088,0.000622891,0.232976032
ENSMUSG00000041220,-2.25704594,1.799189794,0.000623693,0.232976032
ENSMUSG00000030483,-2.243402234,1.839326818,0.000635655,0.232976032
